,DOI,link
71,10_1103&physrevd_99_052003,https://doi.org/10.1103/physrevd.99.052003
72,10_1103&physrevd_99_092007,https://doi.org/10.1103/physrevd.99.092007
73,10_1016&j_physletb_2019_03_067,https://doi.org/10.1016/j.physletb.2019.03.067
74,10_1103&physrevlett_122_231801,https://doi.org/10.1103/physrevlett.122.231801
75,10_1016&j_physletb_2019_07_031,https://doi.org/10.1016/j.physletb.2019.07.031
76,10_1016&j_physletb_2019_135082,https://doi.org/10.1016/j.physletb.2019.135082
77,10_1140&epjc&s10052-020-8181-6,https://doi.org/10.1140/epjc/s10052-020-8181-6
78,10_1007&JHEP01(2020)051,https://doi.org/10.1007/JHEP01(2020)051
79,10_1103&PhysRevLett_124_031802,https://doi.org/10.1103/PhysRevLett.124.031802
80,10_1140&epjc&s10052-020-7606-6,https://doi.org/10.1140/epjc/s10052-020-7606-6
81,10_1103&PhysRevD_102_032004,https://doi.org/10.1103/PhysRevD.102.032004
82,10_1016&j_physletb_2019_135114,https://doi.org/10.1016/j.physletb.2019.135114
83,10_1016&j_physletb_2019_135069,https://doi.org/10.1016/j.physletb.2019.135069
84,10_1016&j_physletb_2019_135148,https://doi.org/10.1016/j.physletb.2019.135148
85,10_1140&epjc&s10052-019-7500-2,https://doi.org/10.1140/epjc/s10052-019-7500-2
86,10_1103&PhysRevLett_124_082301,https://doi.org/10.1103/PhysRevLett.124.082301
87,10_1007&JHEP01(2020)095,https://doi.org/10.1007/JHEP01(2020)095
88,10_1103&PhysRevD_101_012002,https://doi.org/10.1103/PhysRevD.101.012002
89,10_1007&JHEP03(2020)179,https://doi.org/10.1007/JHEP03(2020)179
90,10_1140&epjc&s10052-020-8050-3,https://doi.org/10.1140/epjc/s10052-020-8050-3
91,10_1103&PhysRevC_101_024906,https://doi.org/10.1103/PhysRevC.101.024906
92,10_1007&JHEP03(2020)054,https://doi.org/10.1007/JHEP03(2020)054
93,10_1007&JHEP03(2020)145,https://doi.org/10.1007/JHEP03(2020)145
94,10_1103&PhysRevD_101_072001,https://doi.org/10.1103/PhysRevD.101.072001
95,10_1016&j_physletb_2020_135262,https://doi.org/10.1016/j.physletb.2020.135262
96,10_1103&PhysRevD_101_052007,https://doi.org/10.1103/PhysRevD.101.052007
97,10_1007&JHEP02(2020)042,https://doi.org/10.1007/JHEP02(2020)042
98,10_1016&j_physletb_2020_135426,https://doi.org/10.1016/j.physletb.2020.135426
99,10_1103&PhysRevD_101_052013,https://doi.org/10.1103/PhysRevD.101.052013
100,10_1140&epjc&s10052-020-7907-9,https://doi.org/10.1140/epjc/s10052-020-7907-9
101,10_1007&JHEP07(2020)044,https://doi.org/10.1007/JHEP07(2020)044
102,10_1103&PhysRevD_101_032009,https://doi.org/10.1103/PhysRevD.101.032009
103,10_1016&j_physletb_2019_135103,https://doi.org/10.1016/j.physletb.2019.135103
104,10_1103&PhysRevD_101_052005,https://doi.org/10.1103/PhysRevD.101.052005
105,10_1007&JHEP06(2020)151,https://doi.org/10.1007/JHEP06(2020)151
106,10_1016&j_physletb_2020_135595,https://doi.org/10.1016/j.physletb.2020.135595
107,10_1140&epjc&s10052-019-7594-6,https://doi.org/10.1140/epjc/s10052-019-7594-6
108,10_1007&JHEP07(2020)108,https://doi.org/10.1007/JHEP07(2020)108
109,10_1103&PhysRevLett_125_051801,https://doi.org/10.1103/PhysRevLett.125.051801
110,10_1016&j_physletb_2019_135145,https://doi.org/10.1016/j.physletb.2019.135145
111,10_1007&JHEP07(2020)124,https://doi.org/10.1007/JHEP07(2020)124
112,10_1140&epjc&s10052-020-8001-z,https://doi.org/10.1140/epjc/s10052-020-8001-z
113,10_1103&PhysRevLett_125_061802,https://doi.org/10.1103/PhysRevLett.125.061802
114,10_1140&epjc&s10052-020-7997-4,https://doi.org/10.1140/epjc/s10052-020-7997-4
115,10_1007&JHEP09(2020)049,https://doi.org/10.1007/JHEP09(2020)049
116,10_1007&JHEP08(2020)080,https://doi.org/10.1007/JHEP08(2020)080
117,10_1007&JHEP06(2020)046,https://doi.org/10.1007/JHEP06(2020)046
118,10_1088&1748-0221&15&09&P09015,https://doi.org/10.1088/1748-0221/15/09/P09015
119,10_1140&epjc&s10052-020-7624-4,https://doi.org/10.1140/epjc/s10052-020-7624-4
120,10_1140&epjc&s10052-020-8102-8,https://doi.org/10.1140/epjc/s10052-020-8102-8
121,10_1016&j_physletb_2020_135341,https://doi.org/10.1016/j.physletb.2020.135341
122,10_1103&PhysRevD_102_032006,https://doi.org/10.1103/PhysRevD.102.032006
123,10_1007&JHEP10(2020)112,https://doi.org/10.1007/JHEP10(2020)112
124,10_1016&j_physletb_2020_135754,https://doi.org/10.1016/j.physletb.2020.135754
125,10_1088&1748-0221&15&11&P11016,https://doi.org/10.1088/1748-0221/15/11/P11016
126,10_1088&1748-0221&15&04&P04003,https://doi.org/10.1088/1748-0221/15/04/P04003
127,10_1103&PhysRevLett_124_222002,https://doi.org/10.1103/PhysRevLett.124.222002
128,10_1140&epjc&s10052-020-08469-8,https://doi.org/10.1140/epjc/s10052-020-08469-8
129,10_1140&epjc&s10052-020-8223-0,https://doi.org/10.1140/epjc/s10052-020-8223-0
130,10_1088&1748-0221&15&10&P10004,https://doi.org/10.1088/1748-0221/15/10/P10004
131,10_5604&01_3001_0014_1676,https://doi.org/10.5604/01.3001.0014.1676
132,10_5114&cipp_2021_110022,https://doi.org/10.5114/cipp.2021.110022
133,10_1159&000485796,https://doi.org/10.1159/000485796
134,10_26444&aaem&125861,https://doi.org/10.26444/aaem/125861
135,10_1128&AEM_02177-20,https://doi.org/10.1128/AEM.02177-20
136,10_1016&j_vetmic_2021_109095,https://doi.org/10.1016/j.vetmic.2021.109095
137,10_1099&mgen_0_000743,https://doi.org/10.1099/mgen.0.000743
138,10_4467&20843860pk_18_015_9193,https://doi.org/10.4467/20843860pk.18.015.9193
139,10_1080&0048721x_2019_1681078,https://doi.org/10.1080/0048721x.2019.1681078
140,10_5604&01_3001_0013_2969,https://doi.org/10.5604/01.3001.0013.2969
141,10_5604&01_3001_0013_2968,https://doi.org/10.5604/01.3001.0013.2968
142,10_1080&10508619_2019_1687197,https://doi.org/10.1080/10508619.2019.1687197
143,10_1558&pome_33300,https://doi.org/10.1558/pome.33300
144,10_1080&01416200_2016_1209457,https://doi.org/10.1080/01416200.2016.1209457
145,10_1177&0084672420926259,https://doi.org/10.1177/0084672420926259
146,10_4467&25444972SMPP_20_017_12333,https://doi.org/10.4467/25444972SMPP.20.017.12333
147,10_1177&0084672421994199,https://doi.org/10.1177/0084672421994199
148,10_14314&polimery_2021_11_5,https://doi.org/10.14314/polimery.2021.11.5
149,10_5604&01_3001_0011_8321,https://doi.org/10.5604/01.3001.0011.8321
150,10_1002&mgg3_1356,https://doi.org/10.1002/mgg3.1356
151,10_1080&03004430_2020_1753719,https://doi.org/10.1080/03004430.2020.1753719
152,10_3390&ijerph18094815,https://doi.org/10.3390/ijerph18094815
153,10_1016&j_psyneuen_2021_105294,https://doi.org/10.1016/j.psyneuen.2021.105294
154,10_5114&cipp_2021_104800,https://doi.org/10.5114/cipp.2021.104800
155,10_3389&fpsyg_2021_635378,https://doi.org/10.3389/fpsyg.2021.635378
156,10_1111&cogs_12578,https://doi.org/10.1111/cogs.12578
157,10_1038&s41598-017-14209-y,https://doi.org/10.1038/s41598-017-14209-y
158,10_3758&s13414-019-01781-w,https://doi.org/10.3758/s13414-019-01781-w
159,10_1016&j_concog_2019_102798,https://doi.org/10.1016/j.concog.2019.102798
160,10_4467&20843879pr_20_010_12265,https://doi.org/10.4467/20843879pr.20.010.12265
161,10_12740&PP&ONLINEFIRST&138995,https://doi.org/10.12740/PP/ONLINEFIRST/138995
162,10_1016&j_biopsycho_2019_04_005,https://doi.org/10.1016/j.biopsycho.2019.04.005
163,10_1016&j_bandc_2017_07_010,https://doi.org/10.1016/j.bandc.2017.07.010
164,10_1016&j_bandc_2017_01_007,https://doi.org/10.1016/j.bandc.2017.01.007
165,10_1016&j_actpsy_2017_03_004,https://doi.org/10.1016/j.actpsy.2017.03.004
166,10_1038&S41598-020-60268-Z,https://doi.org/10.1038/S41598-020-60268-Z
167,10_1162&JOCN_A_01727,https://doi.org/10.1162/JOCN.A.01727
168,10_3758&S13414-019-01958-3,https://doi.org/10.3758/S13414-019-01958-3
169,10_1016&j_addbeh_2021_106941,https://doi.org/10.1016/j.addbeh.2021.106941
170,10_5114&hpr_2020_95746,https://doi.org/10.5114/hpr.2020.95746
171,10_3390&ijerph18168590,https://doi.org/10.3390/ijerph18168590
172,10_5114&cipp_2021_107070,https://doi.org/10.5114/cipp.2021.107070
173,10_1007&s10943-021-01350-2,https://doi.org/10.1007/s10943-021-01350-2
174,10_5114&hpr_2019_88058,https://doi.org/10.5114/hpr.2019.88058
175,10_5114&hpr_2020_98734,https://doi.org/10.5114/hpr.2020.98734
176,10_1007&s11469-019-00193-z,https://doi.org/10.1007/s11469-019-00193-z
177,10_5114&hpr_2019_91428,https://doi.org/10.5114/hpr.2019.91428
178,10_3390&ijerph17020660,https://doi.org/10.3390/ijerph17020660
179,10_5114&cipp_2020_95149,https://doi.org/10.5114/cipp.2020.95149
180,10_24818&EA&2020&S14&1265,https://doi.org/10.24818/EA/2020/S14/1265
181,10_26881&ae_2020_17_01,https://doi.org/10.26881/ae.2020.17.01
182,10_15557&pipk_2020_0002,https://doi.org/10.15557/pipk.2020.0002
183,10_1007&s12144-021-01712-9,https://doi.org/10.1007/s12144-021-01712-9
184,10_1016&j_jbusres_2019_01_073,https://doi.org/10.1016/j.jbusres.2019.01.073
185,10_1016&j_jbusres_2017_11_041,https://doi.org/10.1016/j.jbusres.2017.11.041
186,10_1016&j_jbusres_2020_10_039,https://doi.org/10.1016/j.jbusres.2020.10.039
187,10_3846&tede_2021_14254,https://doi.org/10.3846/tede.2021.14254
188,10_1371&JOURNAL_PONE_0232108,https://doi.org/10.1371/JOURNAL.PONE.0232108
189,10_5604&01_3001_0013_2411,https://doi.org/10.5604/01.3001.0013.2411
190,10_1080&10803548_2018_1463670,https://doi.org/10.1080/10803548.2018.1463670
191,10_13075&ijomeh_1896_01187,https://doi.org/10.13075/ijomeh.1896.01187
192,10_24425&ppb_2019_126022,https://doi.org/10.24425/ppb.2019.126022
193,10_14691&cppj_24_3_481,https://doi.org/10.14691/cppj.24.3.481
194,10_5604&01_3001_0010_8528,https://doi.org/10.5604/01.3001.0010.8528
195,10_13075&mp_5893_00569,https://doi.org/10.13075/mp.5893.00569
196,10_5604&01_3001_0014_1444,https://doi.org/10.5604/01.3001.0014.1444
197,10_3390&ijerph18157730,https://doi.org/10.3390/ijerph18157730
198,10_13075&mp_5893_01115,https://doi.org/10.13075/mp.5893.01115
199,10_3389&fpsyg_2021_696891,https://doi.org/10.3389/fpsyg.2021.696891
200,10_3390&su131910623,https://doi.org/10.3390/su131910623
201,10_5114&ppn_2021_108473,https://doi.org/10.5114/ppn.2021.108473
202,10_1371&journal_pone_0258948,https://doi.org/10.1371/journal.pone.0258948
203,10_13075&ijomeh_1896_01745,https://doi.org/10.13075/ijomeh.1896.01745
204,10_13075&ijomeh_1896_01425,https://doi.org/10.13075/ijomeh.1896.01425
205,10_5604&01_3001_0013_6361,https://doi.org/10.5604/01.3001.0013.6361
206,10_14656&pfp20180107,https://doi.org/10.14656/pfp20180107
207,10_4467&20843879pr_17_007_7039,https://doi.org/10.4467/20843879pr.17.007.7039
208,10_14691&cppj_23_1_137,https://doi.org/10.14691/cppj.23.1.137
209,10_24425&119501,https://doi.org/10.24425/119501
210,10_14656&pfp20190301,https://doi.org/10.14656/pfp20190301
211,10_4467&20843879pr_18_023_9952,https://doi.org/10.4467/20843879pr.18.023.9952
212,10_5604&01_3001_0013_2962,https://doi.org/10.5604/01.3001.0013.2962
213,10_14746&cis_2018_45_6,https://doi.org/10.14746/cis.2018.45.6
214,10_14746&cis_2021_51_1,https://doi.org/10.14746/cis.2021.51.1
215,10_1080&07347332_2020_1859662,https://doi.org/10.1080/07347332.2020.1859662
216,10_15219&em83_1449,https://doi.org/10.15219/em83.1449
217,10_14746&cis_2020_50_10,https://doi.org/10.14746/cis.2020.50.10
218,10_14746&cis_2021_51_3,https://doi.org/10.14746/cis.2021.51.3
219,10_1016&j_chb_2018_04_001,https://doi.org/10.1016/j.chb.2018.04.001
220,10_1007&s10943-021-01350-2,https://doi.org/10.1007/s10943-021-01350-2
221,10_5114&cipp_2019_92957,https://doi.org/10.5114/cipp.2019.92957
222,10_3389&fpsyg_2017_01444,https://doi.org/10.3389/fpsyg.2017.01444
223,10_1007&s10936-019-09654-x,https://doi.org/10.1007/s10936-019-09654-x
224,10_1371&journal_pone_0228538,https://doi.org/10.1371/journal.pone.0228538
225,10_5604&01_3001_0013_2960,https://doi.org/10.5604/01.3001.0013.2960
226,10_1080&10926488_2021_1887707,https://doi.org/10.1080/10926488.2021.1887707
227,10_1080&21504857_2021_1946115,https://doi.org/10.1080/21504857.2021.1946115
228,10_1177&0894439321993836,https://doi.org/10.1177/0894439321993836
229,10_2478&plc-2019-0001,https://doi.org/10.2478/plc-2019-0001
230,10_1007&s10943-021-01214-9,https://doi.org/10.1007/s10943-021-01214-9
231,10_1017&S0272263119000408,https://doi.org/10.1017/S0272263119000408
232,10_3390&MEDICINA57121348,https://doi.org/10.3390/MEDICINA57121348
233,10_3389&FPSYG_2020_506085,https://doi.org/10.3389/FPSYG.2020.506085
234,10_1016&J_PAID_2020_110060,https://doi.org/10.1016/J.PAID.2020.110060
235,10_1353&PPP_2021_0003,https://doi.org/10.1353/PPP.2021.0003
236,10_1186&s12889-019-6715-3,https://doi.org/10.1186/s12889-019-6715-3
237,10_1007&S12160-016-9821-9,https://doi.org/10.1007/S12160-016-9821-9
238,10_1186&s12955-017-0645-5,https://doi.org/10.1186/s12955-017-0645-5
239,10_1080&17437199_2017_1327325,https://doi.org/10.1080/17437199.2017.1327325
240,10_4467&20843879pr_17_020_8066,https://doi.org/10.4467/20843879pr.17.020.8066
241,10_1037&rep0000199,https://doi.org/10.1037/rep0000199
242,10_1016&j_bbi_2020_04_013,https://doi.org/10.1016/j.bbi.2020.04.013
243,10_1016&S0140-6736(20)30977-6,https://doi.org/10.1016/S0140-6736(20)30977-6
244,10_1016&S0140-6736(20)30925-9,https://doi.org/10.1016/S0140-6736(20)30925-9
245,10_1038&s41562-021-01173-x,https://doi.org/10.1038/s41562-021-01173-x
246,10_1038&S41562-020-01007-2,https://doi.org/10.1038/S41562-020-01007-2
247,10_3389&FPSYG_2020_00161,https://doi.org/10.3389/FPSYG.2020.00161
248,10_1093&ABM&KAAB004,https://doi.org/10.1093/ABM/KAAB004
249,10_1111&APHW_12225,https://doi.org/10.1111/APHW.12225
250,10_1093&EURPUB&CKAA251,https://doi.org/10.1093/EURPUB/CKAA251
251,10_3390&NU12072149,https://doi.org/10.3390/NU12072149
252,10_1080&08870446_2020_1784419,https://doi.org/10.1080/08870446.2020.1784419
253,10_1016&J_SOCSCIMED_2021_114336,https://doi.org/10.1016/J.SOCSCIMED.2021.114336
254,10_1037&REP0000281,https://doi.org/10.1037/REP0000281
255,10_1177&2515245920958687,https://doi.org/10.1177/2515245920958687
256,10_1016&j_jesp_2020_104060,https://doi.org/10.1016/j.jesp.2020.104060
257,10_1016&j_obhdp_2020_07_002,https://doi.org/10.1016/j.obhdp.2020.07.002
258,10_1037&bul0000220,https://doi.org/10.1037/bul0000220
259,10_12740&PT&132247,https://doi.org/10.12740/PT/132247
260,10_14199&ppp-2021-030,https://doi.org/10.14199/ppp-2021-030
261,10_21125&edulearn_2018_2054,https://doi.org/10.21125/edulearn.2018.2054
262,10_21125&edulearn_2018_1948,https://doi.org/10.21125/edulearn.2018.1948
263,10_3390&ma15010245,https://doi.org/10.3390/ma15010245
264,10_18794&aams&127329,https://doi.org/10.18794/aams/127329
265,10_15199&62_2021_11_3,https://doi.org/10.15199/62.2021.11.3
266,10_32047&CWB_2021_26_3_1,https://doi.org/10.32047/CWB.2021.26.3.1
267,10_5603&JTM_2021_0010,https://doi.org/10.5603/JTM.2021.0010
268,10_1039&C9DT03903A,https://doi.org/10.1039/C9DT03903A
269,10_1039&c9dt03903a,https://doi.org/10.1039/c9dt03903a
270,10_1007&s12649-017-9916-y,https://doi.org/10.1007/s12649-017-9916-y
271,10_1007&s00262-018-2200-6,https://doi.org/10.1007/s00262-018-2200-6
272,10_1016&j_ecoleng_2016_11_006,https://doi.org/10.1016/j.ecoleng.2016.11.006
273,10_5604&01_3001_0010_3811,https://doi.org/10.5604/01.3001.0010.3811
274,10_1016&j_paid_2020_110265,https://doi.org/10.1016/j.paid.2020.110265
275,10_1016&S0140-6736(20)31859-6,https://doi.org/10.1016/S0140-6736(20)31859-6
276,10_1159&000510689,https://doi.org/10.1159/000510689
277,10_7554&eLife_60060,https://doi.org/10.7554/eLife.60060
278,10_1016&j_paid_2021_110844,https://doi.org/10.1016/j.paid.2021.110844
279,10_1037&pas0000430,https://doi.org/10.1037/pas0000430
280,10_1007&s10882-019-09697-x,https://doi.org/10.1007/s10882-019-09697-x
281,10_1016&j_trf_2018_06_035,https://doi.org/10.1016/j.trf.2018.06.035
282,10_1016&j_jrp_2018_12_005,https://doi.org/10.1016/j.jrp.2018.12.005
283,10_1177&1359105319884597,https://doi.org/10.1177/1359105319884597
284,10_1016&j_paid_2018_11_025,https://doi.org/10.1016/j.paid.2018.11.025
285,10_1027&1614-0001&a000345,https://doi.org/10.1027/1614-0001/a000345
286,10_1007&s11211-021-00373-0,https://doi.org/10.1007/s11211-021-00373-0
287,10_1007&s12144-020-01249-3,https://doi.org/10.1007/s12144-020-01249-3
288,10_3389&fpsyg_2018_00799,https://doi.org/10.3389/fpsyg.2018.00799
289,10_14746&ikps_2018_20_05,https://doi.org/10.14746/ikps.2018.20.05
290,10_21909&sp_2019_02_777,https://doi.org/10.21909/sp.2019.02.777
291,10_18290&rpsych_2017_20_1-1en,https://doi.org/10.18290/rpsych.2017.20.1-1en
292,10_5604&01_3001_0012_4762_,https://doi.org/10.5604/01.3001.0012.4762.
293,10_18290&rpsych_2019_22_1-4,https://doi.org/10.18290/rpsych.2019.22.1-4
294,10_1016&j_paid_2018_01_018,https://doi.org/10.1016/j.paid.2018.01.018
295,10_1016&j_paid_2019_02_025,https://doi.org/10.1016/j.paid.2019.02.025
296,10_1016&j_jesp_2018_06_007,https://doi.org/10.1016/j.jesp.2018.06.007
297,10_24425&119491,https://doi.org/10.24425/119491
298,10_1111&spc3_12572,https://doi.org/10.1111/spc3.12572
299,10_1111&desc_13038,https://doi.org/10.1111/desc.13038
300,10_1371&journal_pone_0244429,https://doi.org/10.1371/journal.pone.0244429
301,10_1177&1948550618765065,https://doi.org/10.1177/1948550618765065
302,10_13075&ijomeh_1896_01052,https://doi.org/10.13075/ijomeh.1896.01052
303,10_5964&spb_v13i2_27156,https://doi.org/10.5964/spb.v13i2.27156
304,10_13075&mp_5893_00693,https://doi.org/10.13075/mp.5893.00693
305,10_14691&CPPJ_24_2_315,https://doi.org/10.14691/CPPJ.24.2.315
306,10_1088&1757-899x&415&1&012005&meta,https://doi.org/10.1088/1757-899x/415/1/012005/meta
307,10_1515&bpasts-2017-0084,https://doi.org/10.1515/bpasts-2017-0084
308,10_1016&j_envint_2019_105098,https://doi.org/10.1016/j.envint.2019.105098
309,10_1051&e3sconf&20184900004,https://doi.org/10.1051/e3sconf/20184900004
310,10_1051&e3sconf&20184400009,https://doi.org/10.1051/e3sconf/20184400009
311,10_3390&ijerph14020126,https://doi.org/10.3390/ijerph14020126
312,10_4467&24498939ijcm_18_032_9628,https://doi.org/10.4467/24498939ijcm.18.032.9628
313,10_1108&bjm-11-2015-0215,https://doi.org/10.1108/bjm-11-2015-0215
314,10_1007&s12144-019-00598-y,https://doi.org/10.1007/s12144-019-00598-y
315,10_2147&cia_s118136,https://doi.org/10.2147/cia.s118136
316,10_3390&en13061433,https://doi.org/10.3390/en13061433
317,10_3390&en14092446,https://doi.org/10.3390/en14092446
318,10_3390&en14082035,https://doi.org/10.3390/en14082035
319,10_1002&nop2_886,https://doi.org/10.1002/nop2.886
320,10_13075&mp_5893_00966,https://doi.org/10.13075/mp.5893.00966
321,10_5114&ain_2018_83912,https://doi.org/10.5114/ain.2018.83912
322,10_5114&pson_2017_77298,https://doi.org/10.5114/pson.2017.77298
323,10_13075&mp_5893_00823,https://doi.org/10.13075/mp.5893.00823
324,10_5114&hpr_2020_93781,https://doi.org/10.5114/hpr.2020.93781
325,10_17951&j_2020_33_2_221-237,https://doi.org/10.17951/j.2020.33.2.221-237
326,10_5114&hpr_2019_85952,https://doi.org/10.5114/hpr.2019.85952
327,10_15557&PiPK_2021_0013,https://doi.org/10.15557/PiPK.2021.0013
328,10_13075&mp_5893_00753,https://doi.org/10.13075/mp.5893.00753
329,10_13075&mp_5893_00928,https://doi.org/10.13075/mp.5893.00928
330,10_5114&ppn_2019_84354,https://doi.org/10.5114/ppn.2019.84354
331,10_5114&ppn_2018_78712,https://doi.org/10.5114/ppn.2018.78712
332,10_4467&20843879PR_19_021_11727,https://doi.org/10.4467/20843879PR.19.021.11727
333,10_15557&PiPK_2021_0009,https://doi.org/10.15557/PiPK.2021.0009
334,10_13075&ijomeh_1896_01567,https://doi.org/10.13075/ijomeh.1896.01567
335,10_5114&cipp_2021_106412,https://doi.org/10.5114/cipp.2021.106412
336,10_3390&en14227534,https://doi.org/10.3390/en14227534
337,10_3390&atmos12121606,https://doi.org/10.3390/atmos12121606
338,10_1016&j_paid_2021_110988,https://doi.org/10.1016/j.paid.2021.110988
339,10_1080&10720537_2021_1929598,https://doi.org/10.1080/10720537.2021.1929598
340,10_3389&fpubh_2020_633888,https://doi.org/10.3389/fpubh.2020.633888
341,10_1371&journal_pone_0232108,https://doi.org/10.1371/journal.pone.0232108
342,10_1371&JOURNAL_PONE_0232108,https://doi.org/10.1371/JOURNAL.PONE.0232108
