name,orcid,doi,title,date,journal,filename,Article_ID,author_id
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.12740/pp/onlinefirst/62657,"Evaluation of the relationship between cognitive functioning in patients with borderline personality disorder and their general functioning,Ocena zależności pomiędzy funkcjonowaniem poznawczym osób z osobowością chwiejną emocjonalnie typu borderline a ich ogólnym poziomem funkcjonowania",2018,Psychiatria Polska,Jacek_Janusz_Gierus_11,10-12740_pp_onlinefirst_62657,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,empty,"Not only „neurosis”. The level of reported pathological worry versus reported generalized anxiety sympthoms, and primary care consultations. Which phenomenon is more informative?,Nie tylko „nerwica”. Poziom patologicznego zamartwiania i objawy lęku uogólnionego w populacji a skala zgłoszeń do lekarza podstawowej opieki zdrowotnej. Które zjawisko wyjaśnia więcej?",2018,Psychiatria,Jacek_Janusz_Gierus_12,-8.16E+16,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1016/j.pscychresns.2018.01.001,Proton magnetic resonance spectroscopy changes after lithium treatment. Systematic review,2018,Psychiatry Research - Neuroimaging,Jacek_Janusz_Gierus_13,10-1016_j-pscychresns-2018-01-001,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.3390/ijerph15122854,Role of social and informational support while deciding on pregnancy termination for medical reasons,2018,International Journal of Environmental Research and Public Health,Jacek_Janusz_Gierus_14,10-3390_ijerph15122854,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.12740/pp/onlinefirst/64831,"The Cognitive Screening Scale for Schizophrenia (CSSS). Part 1. Design and structure of the scale,Przesiewowa Skala Funkcji Poznawczych w Schizofrenii (CSSS). Czesc 1. Konstrukcja i struktura skali",2018,Psychiatria Polska,Jacek_Janusz_Gierus_15,10-12740_pp_onlinefirst_64831,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.12740/pp/onlinefirst/69101,"The Cognitive Screening Scale for Schizophrenia (CSSS). Part 2. Validity of the scale,Przesiewowa Skala Funkcji Poznawczych w Schizofrenii (CSSS). Czesc 2. Trafnosc diagnostyczna metody",2018,Psychiatria Polska,Jacek_Janusz_Gierus_16,10-12740_pp_onlinefirst_69101,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,empty,"Tools for the assessment of executive functions in patients suffering from schizophrenia,Narzedzia do oceny funkcji wykonawczych u pacjentów chorujacych na schizofrenie",2018,Psychiatria,Jacek_Janusz_Gierus_17,5.54E+18,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1016/j.apnu.2016.11.002,An Introduction to the Model of Crisis Intervention Procedure for Borderline Patients (CIP-BP): A Case Study,2017,Archives of Psychiatric Nursing,Jacek_Janusz_Gierus_18,10-1016_j-apnu-2016-11-002,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,empty,Diagnostic accuracy of the Verbal Suicide Scale (VSS) in the group of psychiatrically hospitalised patients,2017,Psychiatria,Jacek_Janusz_Gierus_19,-3.41E+18,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,empty,"Epidemiology of suicidal thoughts and behaviours in patients of the Clinic of Psychiatry at the Faculty of Health Sciences of Medical University of Warsaw (April 2016-March 2017),Epidemiologia zachowań samobójczych pacjentów Kliniki Psychiatrycznej Wydziału Nauki o Zdrowiu Warszawskiego Uniwersytetu Medycznego (kwiecień 2016-marzec 2017 roku)",2017,Psychiatria,Jacek_Janusz_Gierus_20,-6.29E+18,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1016/s2215-0366(17)30363-2,Institutional discrimination against psychiatric patients in Poland,2017,The Lancet Psychiatry,Jacek_Janusz_Gierus_21,10-1016_s2215-0366(17)30363-2,DD09E71480D5674011B8AE726B9F7DACF52FC170
Krzysztof Kiełkiewicz,https://orcid.org/0000-0003-4042-0969,https://doi.org/10.1007/s10943-019-00821-x,Construct Validity and Dimensionality of the Rosenberg Self-Esteem Scale and Its Association with Spiritual Values Within Irish Population,03/02/2020,Journal of Religion and Health,Krzysztof_Kiełkiewicz_1,10-1007_s10943-019-00821-x,BC501FCC8339F0DBA847E9CA7593C9D5F5621D54
Krzysztof Kiełkiewicz,https://orcid.org/0000-0003-4042-0969,https://doi.org/10.1080/01639625.2019.1665221,"Are Prisoners More Psychopathic than Non-forensic Populations? Profiling Psychopathic Traits among Prisoners, Community Adults, University Students, and Adolescents",12/09/2019,Deviant Behavior,Krzysztof_Kiełkiewicz_2,10-1080_01639625-2019-1665221,BC501FCC8339F0DBA847E9CA7593C9D5F5621D54
Krzysztof Kiełkiewicz,https://orcid.org/0000-0003-4042-0969,https://doi.org/10.1080/13617672.2019.1570451,Empirical investigation of a postmodern model of spirituality within the population of Republic of Ireland,03/04/2019,Journal of Beliefs & Values,Krzysztof_Kiełkiewicz_3,10-1080_13617672-2019-1570451,BC501FCC8339F0DBA847E9CA7593C9D5F5621D54
Ryszard Kościelak,https://orcid.org/0000-0003-0977-2288,empty,Self-image and methods of coping with stress in women practising dentistry,10/01/2018,Polish Journal of Social Sciences,Ryszard_Kościelak_1,-5.07E+18,0786F128AECD6D25A920CC55A3043B62A0D27CED
Ryszard Kościelak,https://orcid.org/0000-0003-0977-2288,empty,Subjective health resources in women suffering from simple obesity,17/03/2017,Polish Journal of Social Sciences,Ryszard_Kościelak_2,-2.46E+18,0786F128AECD6D25A920CC55A3043B62A0D27CED
Ilona Laskowska-Levy,https://orcid.org/0000-0002-8945-3393,https://doi.org/10.12740/pp/onlinefirst/62394,Verbal fluency in research conducted with PET technique under conditions of extended cognitive activation with the use of 18F-fluorodeoxyglucose (FDG) tracer | Fluencja slowna w badaniach technika PET w warunkach przedluzonej aktywizacji poznawczej z zastosowaniem znacznika 18F-fluorodeoksyglukozy (FDG),2017,Psychiatria Polska,Ilona_Laskowska-Levy_1,10-12740_pp_onlinefirst_62394,2FAB105CC3D1FCFAF8DF40073AB0C5836C2D8FD9
Giuseppe Leonardi,https://orcid.org/0000-0003-0159-4851,https://doi.org/10.32614/rj-2021-062,Unidimensional and Multidimensional Methods for Recurrence Quantification Analysis with crqa,2021,The R Journal,Giuseppe_Leonardi_1,10-32614_rj-2021-062,28600BB82224970EF1973E4D573F4F23EA4B8969
Giuseppe Leonardi,https://orcid.org/0000-0003-0159-4851,https://doi.org/10.1109/tcds.2019.2892991,"Multimodal Turn-Taking: Motivations, Methodological Challenges, and Novel Approaches",2019,IEEE Transactions on Cognitive and Developmental Systems,Giuseppe_Leonardi_2,10-1109_tcds-2019-2892991,28600BB82224970EF1973E4D573F4F23EA4B8969
Giuseppe Leonardi,https://orcid.org/0000-0003-0159-4851,https://doi.org/10.1016/j.physa.2018.08.058,A Method for the computation of entropy in the Recurrence Quantification Analysis of categorical time series,2018,Physica A: Statistical Mechanics and its Applications,Giuseppe_Leonardi_3,10-1016_j-physa-2018-08-058,28600BB82224970EF1973E4D573F4F23EA4B8969
Giuseppe Leonardi,https://orcid.org/0000-0003-0159-4851,https://doi.org/10.3389/fpsyg.2018.02232,"Analyzing Multivariate Dynamics Using Cross-Recurrence Quantification Analysis (CRQA), Diagonal-Cross-Recurrence Profiles (DCRP), and Multidimensional Recurrence Quantification Analysis (MdRQA) – A Tutorial in R",04/12/2018,Frontiers in Psychology,Giuseppe_Leonardi_4,10-3389_fpsyg-2018-02232,28600BB82224970EF1973E4D573F4F23EA4B8969
Giuseppe Leonardi,https://orcid.org/0000-0003-0159-4851,https://doi.org/10.1063/1.5024915,Deriving inferential statistics from recurrence plots: A recurrence-based test of differences between sample distributions and its comparison to the two-sample Kolmogorov-Smirnov test,28/08/2018,Chaos: An Interdisciplinary Journal of Nonlinear Science,Giuseppe_Leonardi_5,10-1063_1-5024915,28600BB82224970EF1973E4D573F4F23EA4B8969
Giuseppe Leonardi,https://orcid.org/0000-0003-0159-4851,https://doi.org/10.3389/fpsyg.2017.02228,Combining Recurrence Analysis and Automatic Movement Extraction from Video Recordings to Study Behavioral Coupling in Face-to-Face Parent-Child Interactions,2017,Frontiers in Psychology,Giuseppe_Leonardi_6,10-3389_fpsyg-2017-02228,28600BB82224970EF1973E4D573F4F23EA4B8969
Giuseppe Leonardi,https://orcid.org/0000-0003-0159-4851,https://doi.org/10.3389/fpsyg.2017.01656,Taking Up an Active Role: Emerging Participation in Early Mother–Infant Interaction during Peekaboo Routines,10/10/2017,Frontiers in Psychology,Giuseppe_Leonardi_7,10-3389_fpsyg-2017-01656,28600BB82224970EF1973E4D573F4F23EA4B8969
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1038/s41597-020-00784-9,COVIDiSTRESS Global Survey dataset on psychological and behavioural consequences of the COVID-19 outbreak,2021,Scientific Data,Daniel_Pankowski_1,10-1038_s41597-020-00784-9,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1098/rsos.200589,Stress and worry in the 2020 coronavirus pandemic: relationships to trust and compliance with preventive measures across 48 countries in the COVIDiSTRESS global survey,2021,Royal Society Open Science,Daniel_Pankowski_2,10-1098_rsos-200589,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1016/j.jbspin.2021.105298,Cognitive Impairment in Patients with Rheumatoid Arthritis: A Systematic Review and Meta-analysis,2021-10,Joint Bone Spine,Daniel_Pankowski_3,10-1016_j-jbspin-2021-105298,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.3389/fpsyt.2021.614361,"The Role of Illness-Related Beliefs in Depressive, Anxiety, and Anger Symptoms: An On-line Survey in Women With Hypothyroidism",2021-04,Frontiers in Psychiatry,Daniel_Pankowski_4,10-3389_fpsyt-2021-614361,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1007/s11136-020-02621-3,Comparative study of life satisfaction among patients with psoriasis versus healthy comparison group: the explanatory role of body image and resource profiles,04/01/2021,Quality of Life Research,Daniel_Pankowski_5,10-1007_s11136-020-02621-3,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1111/aphw.12234,Who is the Most Stressed During the COVID‐19 Pandemic? Data From 26 Countries and Areas,2020-12,Applied Psychology: Health and Well-Being,Daniel_Pankowski_6,10-1111_aphw-12234,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1002/jclp.23011,The role of beliefs about the impact of illness on fertility and close relationships for psychopathological symptoms in women treated for hypothyroidism,27/12/2020,Journal of Clinical Psychology,Daniel_Pankowski_7,10-1002_jclp-23011,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1016/j.ijchp.2020.07.004,Profiles of resources and posttraumatic growth among cancer and psoriatic patients compared to non-clinical sample,2020-08,International Journal of Clinical and Health Psychology,Daniel_Pankowski_8,10-1016_j-ijchp-2020-07-004,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1371/journal.pone.0237859,Knowledge about traumatic World War II experiences among ancestors and subjective well-being of young adults: A person-centred perspective,24/08/2020,PLOS ONE,Daniel_Pankowski_9,10-1371_journal-pone-0237859,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1037/tra0000676,Commentary on COVID-19 situation in Poland: Practical and empirical evaluation of current state.,2020-07,"Psychological Trauma: Theory, Research, Practice, and Policy",Daniel_Pankowski_10,10-1037_tra0000676,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1109/mie.2020.2985194,Power Industrial Electronics and Informatics for Humans [Students and Young Professionals News],2020-06,IEEE Industrial Electronics Magazine,Daniel_Pankowski_11,10-1109_mie-2020-2985194,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1080/13548506.2019.1619789,The role of psychological and medical variables in the process of adaptation to life with chronic illness in a group of COPD outpatients,26/11/2019,"Psychology, Health & Medicine",Daniel_Pankowski_12,10-1080_13548506-2019-1619789,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.3389/fpsyg.2019.01526,"Smoking Status, Body Mass Index, Health-Related Quality of Life, and Acceptance of Life With Illness in Stable Outpatients With COPD",02/07/2019,Frontiers in Psychology,Daniel_Pankowski_13,10-3389_fpsyg-2019-01526,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1007/s12144-016-9526-z,Body Image and Body Experience Disturbances in Schizophrenia: an Attempt to Introduce the Concept of Body Self as a Conceptual Framework,2018,Current Psychology,Daniel_Pankowski_14,10-1007_s12144-016-9526-z,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.5114/fmpcr.2018.76459,"Sociodemographic variables, health-related behaviors, and disease characteristics in patients with psoriasis",2018,Family Medicine and Primary Care Review,Daniel_Pankowski_15,10-5114_fmpcr-2018-76459,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1080/17522439.2017.1300186,Do specific metacognitive training modules lead to specific cognitive changes among patients diagnosed with schizophrenia? A single module effectiveness pilot study,2017,Psychosis,Daniel_Pankowski_16,10-1080_17522439-2017-1300186,EBFDED7FEDD0F6D824D01A6718F50D7A7D912F30
Joanna Piekarska,https://orcid.org/0000-0001-6063-9269,https://doi.org/10.24425/ppb.2020.134726,Adolescents’ emotional abilities and stress coping strategies: The moderating role of gender ,2020,Polish Psychological Bulletin,Joanna_Piekarska_1,10-24425_ppb-2020-134726,8E80C4944C984AEF6135A0CE4C7CAA5208A0CCA0
Joanna Piekarska,https://orcid.org/0000-0001-6063-9269,https://doi.org/10.5709/acp-0305-z,"Determinants of Perceived Stress in Adolescence: The Role of Personality Traits, Emotional Abilities, Trait Emotional Intelligence, Self-Efficacy, and Self-Esteem",2020-12,Advances in Cognitive Psychology,Joanna_Piekarska_2,10-5709_acp-0305-z,8E80C4944C984AEF6135A0CE4C7CAA5208A0CCA0
Mieczysław Plopa,https://orcid.org/0000-0002-5278-149X,https://doi.org/10.1080/0092623x.2019.1654578,Partners’ Sexual Satisfaction in Partnership and Marriage: A Study Method,2020,Journal of Sex and Marital Therapy,Mieczysław_Plopa_1,10-1080_0092623x-2019-1654578,23FC6BEAE6509443426DD990DE74E45DFD41CCD6
Mieczysław Plopa,https://orcid.org/0000-0002-5278-149X,empty,The quality of parental relationships and dispositional empathy as predictors of satisfaction during the transition to marriage,2019,Journal of Family Studies,Mieczysław_Plopa_2,-5.93E+18,23FC6BEAE6509443426DD990DE74E45DFD41CCD6
