institution,id,doi,title,display_name,publication_year,publication_date,journal,type,language,pdf_url,landing_page_url,oa_url,apc_paid,authors,author_orcids,countries,institutions,clean_doi
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3136553128,https://doi.org/10.3390/jcm10061280,COVID-19 Pandemic Influence on Healthcare Professionals,COVID-19 Pandemic Influence on Healthcare Professionals,2021,2021-03-19,Journal of Clinical Medicine,article,en,,https://doi.org/10.3390/jcm10061280,https://doi.org/10.3390/jcm10061280,2400 CHF (USD 2598),"Anna Klimkiewicz, Adrianna Schmalenberg, Jakub Klimkiewicz, Agata Jasińska, Joanna Jasionowska, Weronika Machura, Marcin Wojnar",Anna Klimkiewicz: https://orcid.org/0000-0001-5611-0493; Adrianna Schmalenberg: None; Jakub Klimkiewicz: https://orcid.org/0000-0003-0195-2022; Agata Jasińska: None; Joanna Jasionowska: None; Weronika Machura: None; Marcin Wojnar: https://orcid.org/0000-0001-5138-9050,"PL, US","Medical University of Warsaw, University of Michigan, Uniwersytet SWPS, Wojskowy Instytut Medycyny Lotniczej",10.3390/jcm10061280
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2794408586,https://doi.org/10.1515/plc-2017-0019,Does Grammatical Gender Influence Perception? A Study of Polish and French Speakers,Does Grammatical Gender Influence Perception? A Study of Polish and French Speakers,2017,2017-12-20,Psychology of Language and Communication,article,en,https://content.sciendo.com/downloadpdf/journals/plc/21/1/article-p386.pdf,https://doi.org/10.1515/plc-2017-0019,https://content.sciendo.com/downloadpdf/journals/plc/21/1/article-p386.pdf,,Izabella Haertlé,Izabella Haertlé: https://orcid.org/0000-0002-6324-3945,PL,Uniwersytet SWPS,10.1515/plc-2017-0019
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2777059822,https://doi.org/10.1080/14789949.2017.1416658,A psychodynamic-behaviourist investigation of Russian sexual serial killer Andrei Chikatilo,A psychodynamic-behaviourist investigation of Russian sexual serial killer Andrei Chikatilo,2017,2017-12-22,Journal of Forensic Psychiatry and Psychology,article,en,,https://doi.org/10.1080/14789949.2017.1416658,https://figshare.com/articles/journal_contribution/A_psychodynamic-behaviourist_investigation_of_Russian_sexual_serial_killer_Andrei_Chikatilo/19626006/1/files/34859658.pdf,,"Dominic Willmott, Daniel Boduszek, Rebecca Robinson",Dominic Willmott: https://orcid.org/0000-0002-7449-6462; Daniel Boduszek: https://orcid.org/0000-0001-5863-2906; Rebecca Robinson: None,"GB, PL","Leeds Beckett University, University of Huddersfield, Uniwersytet SWPS",10.1080/14789949.2017.1416658
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3084068347,https://doi.org/10.1371/journal.pone.0238714,How different autonomous vehicle presentation influences its acceptance: Is a communal car better than agentic one?,How different autonomous vehicle presentation influences its acceptance: Is a communal car better than agentic one?,2020,2020-09-08,PLoS ONE,article,en,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0238714&type=printable,https://doi.org/10.1371/journal.pone.0238714,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0238714&type=printable,1805 USD (USD 1805),"Konrad Hryniewicz, Tomasz Grzegorczyk",Konrad Hryniewicz: https://orcid.org/0000-0002-2230-8132; Tomasz Grzegorczyk: https://orcid.org/0000-0002-4286-5753,PL,"Poznań University of Economics and Business, Uniwersytet SWPS",10.1371/journal.pone.0238714
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2769131226,https://doi.org/10.1016/j.ejpsy.2017.10.003,Volitional determinants of self-harm behaviour and suicidal risk in persons with borderline personality disorder,Volitional determinants of self-harm behaviour and suicidal risk in persons with borderline personality disorder,2017,2017-11-20,The European Journal of Psychiatry,article,en,,https://doi.org/10.1016/j.ejpsy.2017.10.003,,,"Sybilla Blasczyk-Schiep, Miguel Kazén, Paulina Jaworska-Andryszewska, Julius Kühl",Sybilla Blasczyk-Schiep: None; Miguel Kazén: https://orcid.org/0000-0001-5012-5723; Paulina Jaworska-Andryszewska: None; Julius Kühl: https://orcid.org/0000-0003-0360-3950,"DE, PL","Osnabrück University, Poznan University of Medical Sciences, Uniwersytet SWPS",10.1016/j.ejpsy.2017.10.003
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2908109549,https://doi.org/10.25073/2588-1159/vnuer.4212,Definition and Characteristics of “Cyberbullying” among Vietnamese Students,Definition and Characteristics of “Cyberbullying” among Vietnamese Students,2018,2018-12-27,VNU Journal of Science Education Research,article,en,https://js.vnu.edu.vn/ER/article/download/4212/3870,https://doi.org/10.25073/2588-1159/vnuer.4212,https://js.vnu.edu.vn/ER/article/download/4212/3870,,"Trần Văn Công, Nguyen Phuong Hong Ngoc, Bahr Weiss, Nguyen Van Luot, Nguyen Ba Dat",Trần Văn Công: None; Nguyen Phuong Hong Ngoc: None; Bahr Weiss: https://orcid.org/0000-0001-6927-5297; Nguyen Van Luot: https://orcid.org/0000-0002-0504-6345; Nguyen Ba Dat: None,"PL, US, VN","Uniwersytet SWPS, Vanderbilt University, Vietnam National University Ho Chi Minh City",10.25073/2588-1159/vnuer.4212
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3135061072,https://doi.org/10.1159/000513042,The H2020 “NoHoW Project”: A Position Statement on Behavioural Approaches to Longer-Term Weight Management,The H2020 “NoHoW Project”: A Position Statement on Behavioural Approaches to Longer-Term Weight Management,2021,2021-01-01,Obesity Facts,article,en,https://www.karger.com/Article/Pdf/513042,https://doi.org/10.1159/000513042,https://www.karger.com/Article/Pdf/513042,3590 USD (USD 3590),"R. James Stubbs, Cristiana Duarte, Ruairi O’Driscoll, Jake Turicchi, Dominika Kwaśnicka, Falko F. Sniehotta, Marta M. Marques, Graham Horgan, Sofus C. Larsen, António L. Palmeira, Inês Santos, Pedro J. Teixeira, Jason C. G. Halford, Berit L. Heitmann",R. James Stubbs: https://orcid.org/0000-0002-0843-9064; Cristiana Duarte: https://orcid.org/0000-0002-6566-273X; Ruairi O’Driscoll: https://orcid.org/0000-0003-3995-0073; Jake Turicchi: https://orcid.org/0000-0003-1174-813X; Dominika Kwaśnicka: https://orcid.org/0000-0002-5961-837X; Falko F. Sniehotta: https://orcid.org/0000-0003-1738-4269; Marta M. Marques: https://orcid.org/0000-0002-4797-9557; Graham Horgan: https://orcid.org/0000-0002-6048-1374; Sofus C. Larsen: https://orcid.org/0000-0002-0838-9378; António L. Palmeira: https://orcid.org/0000-0001-6508-0599; Inês Santos: https://orcid.org/0000-0002-1638-8551; Pedro J. Teixeira: https://orcid.org/0000-0001-7202-0527; Jason C. G. Halford: https://orcid.org/0000-0003-1629-3189; Berit L. Heitmann: https://orcid.org/0000-0002-6809-4504,"AU, DK, GB, IE, PL, PT","Biomathematics and Statistics Scotland, Frederiksberg Hospital, James Hutton Institute, National Health and Medical Research Council, Newcastle University, The University of Melbourne, Trinity College Dublin, University of Leeds, University of Lisbon, Uniwersytet SWPS",10.1159/000513042
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W4255574582,https://doi.org/10.15503/onis2014.252.256,Strategie regulacji emocji i inklinacja autonarracyjna a efektywność zawodowa,Strategie regulacji emocji i inklinacja autonarracyjna a efektywność zawodowa,2020,2020-02-11,Ogrody Nauk i Sztuk,article,pl,https://ogrodynauk.pl/index.php/onis/article/download/970/819,https://doi.org/10.15503/onis2014.252.256,https://ogrodynauk.pl/index.php/onis/article/download/970/819,,Marta Jaroszewska,Marta Jaroszewska: None,PL,Uniwersytet SWPS,10.15503/onis2014.252.256
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3190162358,https://doi.org/10.3390/jcm10153425,COVID-19 Pandemic-Related Depression and Insomnia among Psychiatric Patients and the General Population,COVID-19 Pandemic-Related Depression and Insomnia among Psychiatric Patients and the General Population,2021,2021-07-31,Journal of Clinical Medicine,article,en,,https://doi.org/10.3390/jcm10153425,https://doi.org/10.3390/jcm10153425,2400 CHF (USD 2598),"Anna Klimkiewicz, Joanna Jasionowska, Adrianna Schmalenberg, Jakub Klimkiewicz, Agata Jasińska, Andrzej Silczuk",Anna Klimkiewicz: https://orcid.org/0000-0001-5611-0493; Joanna Jasionowska: None; Adrianna Schmalenberg: None; Jakub Klimkiewicz: https://orcid.org/0000-0003-0195-2022; Agata Jasińska: None; Andrzej Silczuk: https://orcid.org/0000-0002-7048-8094,PL,"Institute of Psychiatry and Neurology, Medical University of Warsaw, Uniwersytet SWPS, Wojskowy Instytut Medycyny Lotniczej",10.3390/jcm10153425
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3119149053,https://doi.org/10.1016/j.psychsport.2021.101886,Applying a relational lens to ethnographic inquiry: Storied insight into the inner workings of multicultural teams in men's elite football,Applying a relational lens to ethnographic inquiry: Storied insight into the inner workings of multicultural teams in men's elite football,2021,2021-01-12,Psychology of sport and exercise,article,en,,https://doi.org/10.1016/j.psychsport.2021.101886,,,"Donka Darpatova-Hruzewicz, Robert T. Book",Donka Darpatova-Hruzewicz: https://orcid.org/0000-0002-3032-5944; Robert T. Book: https://orcid.org/0000-0002-5728-7706,"DK, PL","University of Southern Denmark, Uniwersytet SWPS",10.1016/j.psychsport.2021.101886
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3217540083,https://doi.org/10.1007/s12529-021-10042-w,Hand Washing and Related Cognitions Following a Brief Behavior Change Intervention During the COVID-19 Pandemic: a Pre-Post Analysis,Hand Washing and Related Cognitions Following a Brief Behavior Change Intervention During the COVID-19 Pandemic: a Pre-Post Analysis,2021,2021-11-29,International Journal of Behavioral Medicine,article,en,,https://doi.org/10.1007/s12529-021-10042-w,https://doi.org/10.1007/s12529-021-10042-w,3390 EUR (USD 4190),"Jan Keller, Dominika Kwaśnicka, Lea O. Wilhelm, Noemi Lorbeer, Theresa Pauly, Antonia Domke, Nina Knoll, Lena Fleig",Jan Keller: https://orcid.org/0000-0003-4660-6844; Dominika Kwaśnicka: https://orcid.org/0000-0002-5961-837X; Lea O. Wilhelm: https://orcid.org/0000-0002-8564-8126; Noemi Lorbeer: None; Theresa Pauly: https://orcid.org/0000-0002-6855-1787; Antonia Domke: https://orcid.org/0000-0001-5138-0865; Nina Knoll: https://orcid.org/0000-0002-0871-5559; Lena Fleig: https://orcid.org/0000-0002-5595-4587,"AU, CH, DE, PL","Freie Universität Berlin, MSB Medical School Berlin, The University of Melbourne, University of Zurich, Uniwersytet SWPS",10.1007/s12529-021-10042-w
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2775960575,https://doi.org/10.18778/1733-8069.13.4.04,Participant Recruitment Challenges in Researching Peer Groups and Migration Retrospectively,Participant Recruitment Challenges in Researching Peer Groups and Migration Retrospectively,2017,2017-12-28,Przegląd Socjologii Jakościowej,article,en,https://czasopisma.uni.lodz.pl/socjak/article/download/2573/2144,https://doi.org/10.18778/1733-8069.13.4.04,https://czasopisma.uni.lodz.pl/socjak/article/download/2573/2144,,"Paula Pustułka, Natalia Juchniewicz, Izabela Grabowska",Paula Pustułka: https://orcid.org/0000-0001-6679-0365; Natalia Juchniewicz: https://orcid.org/0000-0002-2686-9404; Izabela Grabowska: https://orcid.org/0000-0001-7957-4901,"CZ, PL","Czech Academy of Sciences, Institute of Philosophy, University of Warsaw, Uniwersytet SWPS",10.18778/1733-8069.13.4.04
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2997509932,https://doi.org/10.1186/s13033-019-0334-3,First-generation migrants’ use of psychotropic medication in Northern Ireland: a record linkage study,First-generation migrants’ use of psychotropic medication in Northern Ireland: a record linkage study,2019,2019-12-01,International Journal of Mental Health Systems,article,en,https://ijmhs.biomedcentral.com/track/pdf/10.1186/s13033-019-0334-3,https://doi.org/10.1186/s13033-019-0334-3,https://ijmhs.biomedcentral.com/track/pdf/10.1186/s13033-019-0334-3,2090 GBP (USD 2563),"Tania Bosqui, Dermot O’Reilly, Ari Väänänen, Kishan Patel, Michael Donnelly, David M. Wright, Ciara Close, Anne Kouvonen",Tania Bosqui: https://orcid.org/0000-0002-7376-5405; Dermot O’Reilly: https://orcid.org/0000-0002-9181-0652; Ari Väänänen: https://orcid.org/0000-0003-1107-5799; Kishan Patel: https://orcid.org/0000-0002-5693-6831; Michael Donnelly: https://orcid.org/0000-0001-8380-7413; David M. Wright: https://orcid.org/0000-0001-8948-3691; Ciara Close: https://orcid.org/0000-0002-3203-303X; Anne Kouvonen: https://orcid.org/0000-0001-6997-8312,"FI, GB, LB, PL","American University of Beirut, Finnish Institute of Occupational Health, Queen's University Belfast, University of Helsinki, University of Kent, Uniwersytet SWPS",10.1186/s13033-019-0334-3
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3131958157,https://doi.org/10.1080/2159676x.2021.1885481,Reflexive confessions of a female sport psychologist: from REBT to existential counselling with a transnational footballer,Reflexive confessions of a female sport psychologist: from REBT to existential counselling with a transnational footballer,2021,2021-02-17,Qualitative Research in Sport Exercise and Health,article,en,,https://doi.org/10.1080/2159676x.2021.1885481,,,Donka Darpatova-Hruzewicz,Donka Darpatova-Hruzewicz: https://orcid.org/0000-0002-3032-5944,PL,Uniwersytet SWPS,10.1080/2159676x.2021.1885481
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3212302923,https://doi.org/10.3390/ijerph182211759,Looking for Razors and Needles in a Haystack: Multifaceted Analysis of Suicidal Declarations on Social Media—A Pragmalinguistic Approach,Looking for Razors and Needles in a Haystack: Multifaceted Analysis of Suicidal Declarations on Social Media—A Pragmalinguistic Approach,2021,2021-11-09,International Journal of Environmental Research and Public Health,article,en,https://www.mdpi.com/1660-4601/18/22/11759/pdf?version=1636519373,https://doi.org/10.3390/ijerph182211759,https://www.mdpi.com/1660-4601/18/22/11759/pdf?version=1636519373,2500 CHF (USD 2707),"Michał Ptaszyński, Monika Zaśko-Zielińska, Michał Marcińczuk, Gniewosz Leliwa, Marcin Fortuna, Kamil Soliwoda, Ida Dziublewska, Olimpia Hubert, Paweł Skrzek, Jan Piesiewicz, Paula Karbowska, Maria Dowgiałło, Juuso Eronen, Patrycja Tempska, Maciej Brochocki, Marek Godny, Michał Wroczyński",Michał Ptaszyński: https://orcid.org/0000-0002-1910-9183; Monika Zaśko-Zielińska: https://orcid.org/0000-0001-6333-660X; Michał Marcińczuk: https://orcid.org/0000-0002-3269-6378; Gniewosz Leliwa: None; Marcin Fortuna: https://orcid.org/0000-0001-5394-8127; Kamil Soliwoda: None; Ida Dziublewska: None; Olimpia Hubert: None; Paweł Skrzek: None; Jan Piesiewicz: None; Paula Karbowska: None; Maria Dowgiałło: None; Juuso Eronen: https://orcid.org/0000-0001-9841-3652; Patrycja Tempska: https://orcid.org/0000-0001-5890-5126; Maciej Brochocki: https://orcid.org/0000-0003-4466-9147; Marek Godny: None; Michał Wroczyński: None,"JP, PL","AGH University of Krakow, Kitami Institute of Technology, University of Gdańsk, University of Wrocław, Uniwersytet SWPS, Wrocław University of Science and Technology",10.3390/ijerph182211759
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2754561567,https://doi.org/10.1177/1403494817726620,Distinctive role of income in the all-cause mortality among working age migrants and the settled population in Finland: A follow-up study from 2001 to 2014,Distinctive role of income in the all-cause mortality among working age migrants and the settled population in Finland: A follow-up study from 2001 to 2014,2017,2017-09-14,Scandinavian Journal of Public Health,article,en,,https://doi.org/10.1177/1403494817726620,https://helda.helsinki.fi/bitstream/10138/233847/1/Manuscript_SJPH_2017.pdf,,"Kishan Patel, Anne Kouvonen, Aki Koskinen, Lauri Kokkinen, Michael Donnelly, Dermot O’Reilly, Ari Väänänen",Kishan Patel: https://orcid.org/0000-0002-5693-6831; Anne Kouvonen: https://orcid.org/0000-0001-6997-8312; Aki Koskinen: https://orcid.org/0000-0002-3450-4421; Lauri Kokkinen: https://orcid.org/0000-0001-7654-3026; Michael Donnelly: https://orcid.org/0000-0001-8380-7413; Dermot O’Reilly: None; Ari Väänänen: https://orcid.org/0000-0003-1107-5799,"FI, GB, PL","Finnish Institute of Occupational Health, Queen's University Belfast, University of Helsinki, University of Kent, Uniwersytet SWPS",10.1177/1403494817726620
